,q,s,j,b,u,t,z,f,p,l,x,r,n,g,w,a,i,c,e,h,k,m,v,y,o,d
q,0.81,   ,,,,,0.01,,,,,,,,0.06,0.08,,,0.02,,,0.01,,,0.01,
s,,0.66,,,,,0.05,,,,0.07,,,,0.09,0.02,,,,,0.02,,,,,0.09
j,    ,,0.68,,0.21,,,,,,,,0.02,,,,,,,0.03,0.02,0.04,,,,
b,,,,0.66,,,,,,,,,0.11,0.06,,,,,,0.08,,,0.07,,0.02,
u,,,0.15,,0.74,,,,,,,,,0.04,,,0.05,,,0.01,,,,0.01,,
t,,,,,,0.54,,0.12,,,,0.08,,0.07,,,,0.11,,0.06,,,,0.01,0.01,
z,0.02,0.09,,,0.02,,0.71,,,,0.05,,,,,0.11,,,,,,,,,,
f,,,,,,,,0.58,,,,0.14,0.05,0.06,,,,0.05,,,,,0.1,,,0.02
p,,0.01,,,,,,,0.84,0.08,,,,,0.01,,,,,0.01,,,,,0.05,
l,0.02,,0.01,,,,,,0.05,0.79,,,,,,,0.01,,,,0.03,0.05,,,0.04,
x,,0.05,,,0.01,,0.09,,,,0.74,,,,,,,0.07,,,,,,,,0.04
r,0.01,,,,,0.13,,0.07,,,,0.59,,,,0.02,,,0.05,,,,0.02,,,0.11
n,,,,0.08,,,,0.11,,,,,0.62,0.07,,,,0.02,,,,0.09,,0.01,,
g,,,,0.09,,0.06,,0.14,,,,,,0.52,,,0.01,,,0.08,,,0.1,,,
w,0.07,0.05,,,,0.01,,,,0.02,,0.02,,,0.78,0.02,,,0.03,,,,,,,
a,0.04,0.13,,,,,0.06,,,,,,,,0.05,0.71,,0.01,,,,,,,,
i,,,0.04,,0.05,,,,,0.03,,,0.01,,,,0.76,,,,0.07,,,,0.04,
c,,,,0.02,,,,0.05,,,0.06,0.01,,,,,,0.72,,,,,0.09,,,0.05
e,,0.06,,,0.03,,,0.08,,0.02,,0.14,,0.01,0.08,,,,0.48,,,,,,,0.1
h,,,0.06,0.05,,,,,,,,,0.03,0.08,,,,,,0.77,,,,0.01,,
k,,,0.14,,,,,,,0.08,,,0.01,,,0.02,0.04,,,,0.64,0.03,,,0.04,
m,,,0.05,,,,,,,0.04,,,,,,,,,,,0.03,0.88,,,,
v,,,,0.1,,,,0.03,,,,,,0.04,,,,0.06,,,,,0.77,,,
y,0.01,,0.05,,0.06,0.08,,,,,,,,0.04,,,,,,0.05,,,,0.71,,
o,,,,,0.02,,,,0.09,0.04,,,,,,,0.08,,,,0.05,,,,0.72,
d,,0.06,,,,,,0.07,,,0.02,0.03,,,,,,0.04,0.02,,,,,,,0.76
